placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-28 00:00:00,2024-12-29 00:00:00,11207
fukui-station-east-entrance,Person,2024-12-29 00:00:00,2024-12-30 00:00:00,11829
fukui-station-east-entrance,Person,2024-12-30 00:00:00,2024-12-31 00:00:00,11800
fukui-station-east-entrance,Person,2024-12-31 00:00:00,2025-01-01 00:00:00,8775
fukui-station-east-entrance,Person,2025-01-01 00:00:00,2025-01-02 00:00:00,9718
fukui-station-east-entrance,Person,2025-01-02 00:00:00,2025-01-03 00:00:00,11478
fukui-station-east-entrance,Person,2025-01-03 00:00:00,2025-01-04 00:00:00,13093
fukui-station-east-entrance,Person,2025-01-04 00:00:00,2025-01-05 00:00:00,12801
fukui-station-east-entrance,Person,2025-01-05 00:00:00,2025-01-06 00:00:00,9841
fukui-station-east-entrance,Person,2025-01-06 00:00:00,2025-01-07 00:00:00,6158
fukui-station-east-entrance,Person,2025-01-07 00:00:00,2025-01-08 00:00:00,4652
fukui-station-east-entrance,Person,2025-01-08 00:00:00,2025-01-09 00:00:00,4460
fukui-station-east-entrance,Person,2025-01-09 00:00:00,2025-01-10 00:00:00,4448
fukui-station-east-entrance,Person,2025-01-10 00:00:00,2025-01-11 00:00:00,4952
fukui-station-east-entrance,Person,2025-01-11 00:00:00,2025-01-12 00:00:00,5688
fukui-station-east-entrance,Person,2025-01-12 00:00:00,2025-01-13 00:00:00,8090
fukui-station-east-entrance,Person,2025-01-13 00:00:00,2025-01-14 00:00:00,7231
fukui-station-east-entrance,Person,2025-01-14 00:00:00,2025-01-15 00:00:00,4974
fukui-station-east-entrance,Person,2025-01-15 00:00:00,2025-01-16 00:00:00,5328
fukui-station-east-entrance,Person,2025-01-16 00:00:00,2025-01-17 00:00:00,4761
fukui-station-east-entrance,Person,2025-01-17 00:00:00,2025-01-18 00:00:00,6143
fukui-station-east-entrance,Person,2025-01-18 00:00:00,2025-01-19 00:00:00,7452
fukui-station-east-entrance,Person,2025-01-19 00:00:00,2025-01-20 00:00:00,7919
fukui-station-east-entrance,Person,2025-01-20 00:00:00,2025-01-21 00:00:00,5068
fukui-station-east-entrance,Person,2025-01-21 00:00:00,2025-01-22 00:00:00,4852
fukui-station-east-entrance,Person,2025-01-22 00:00:00,2025-01-23 00:00:00,4970
fukui-station-east-entrance,Person,2025-01-23 00:00:00,2025-01-24 00:00:00,4787
fukui-station-east-entrance,Person,2025-01-24 00:00:00,2025-01-25 00:00:00,5827
fukui-station-east-entrance,Person,2025-01-25 00:00:00,2025-01-26 00:00:00,8195
fukui-station-east-entrance,Person,2025-01-26 00:00:00,2025-01-27 00:00:00,8024
fukui-station-east-entrance,Person,2025-01-27 00:00:00,2025-01-28 00:00:00,5536
fukui-station-east-entrance,Person,2025-01-28 00:00:00,2025-01-29 00:00:00,4887
fukui-station-east-entrance,Person,2025-01-29 00:00:00,2025-01-30 00:00:00,4492
fukui-station-east-entrance,Person,2025-01-30 00:00:00,2025-01-31 00:00:00,4625
fukui-station-east-entrance,Person,2025-01-31 00:00:00,2025-02-01 00:00:00,5997
fukui-station-east-entrance,Person,2025-02-01 00:00:00,2025-02-02 00:00:00,6871
fukui-station-east-entrance,Person,2025-02-02 00:00:00,2025-02-03 00:00:00,7717
fukui-station-east-entrance,Person,2025-02-03 00:00:00,2025-02-04 00:00:00,5107
fukui-station-east-entrance,Person,2025-02-04 00:00:00,2025-02-05 00:00:00,4460
fukui-station-east-entrance,Person,2025-02-05 00:00:00,2025-02-06 00:00:00,3529
fukui-station-east-entrance,Person,2025-02-06 00:00:00,2025-02-07 00:00:00,4105
fukui-station-east-entrance,Person,2025-02-07 00:00:00,2025-02-08 00:00:00,5577
fukui-station-east-entrance,Person,2025-02-08 00:00:00,2025-02-09 00:00:00,6504
fukui-station-east-entrance,Person,2025-02-09 00:00:00,2025-02-10 00:00:00,8631
fukui-station-east-entrance,Person,2025-02-10 00:00:00,2025-02-11 00:00:00,8028
fukui-station-east-entrance,Person,2025-02-11 00:00:00,2025-02-12 00:00:00,6588
fukui-station-east-entrance,Person,2025-02-12 00:00:00,2025-02-13 00:00:00,5119
fukui-station-east-entrance,Person,2025-02-13 00:00:00,2025-02-14 00:00:00,5879
fukui-station-east-entrance,Person,2025-02-14 00:00:00,2025-02-15 00:00:00,5749
fukui-station-east-entrance,Person,2025-02-15 00:00:00,2025-02-16 00:00:00,7014
fukui-station-east-entrance,Person,2025-02-16 00:00:00,2025-02-17 00:00:00,7740
fukui-station-east-entrance,Person,2025-02-17 00:00:00,2025-02-18 00:00:00,6099
fukui-station-east-entrance,Person,2025-02-18 00:00:00,2025-02-19 00:00:00,5527
fukui-station-east-entrance,Person,2025-02-19 00:00:00,2025-02-20 00:00:00,5946
fukui-station-east-entrance,Person,2025-02-20 00:00:00,2025-02-21 00:00:00,5573
fukui-station-east-entrance,Person,2025-02-21 00:00:00,2025-02-22 00:00:00,6628
fukui-station-east-entrance,Person,2025-02-22 00:00:00,2025-02-23 00:00:00,9154
fukui-station-east-entrance,Person,2025-02-23 00:00:00,2025-02-24 00:00:00,10420
fukui-station-east-entrance,Person,2025-02-24 00:00:00,2025-02-25 00:00:00,9146
fukui-station-east-entrance,Person,2025-02-25 00:00:00,2025-02-26 00:00:00,7510
fukui-station-east-entrance,Person,2025-02-26 00:00:00,2025-02-27 00:00:00,6675
fukui-station-east-entrance,Person,2025-02-27 00:00:00,2025-02-28 00:00:00,6350
fukui-station-east-entrance,Person,2025-02-28 00:00:00,2025-03-01 00:00:00,6833
fukui-station-east-entrance,Person,2025-03-01 00:00:00,2025-03-02 00:00:00,8239
fukui-station-east-entrance,Person,2025-03-02 00:00:00,2025-03-03 00:00:00,9108
fukui-station-east-entrance,Person,2025-03-03 00:00:00,2025-03-04 00:00:00,5550
fukui-station-east-entrance,Person,2025-03-04 00:00:00,2025-03-05 00:00:00,5930
fukui-station-east-entrance,Person,2025-03-05 00:00:00,2025-03-06 00:00:00,5154
fukui-station-east-entrance,Person,2025-03-06 00:00:00,2025-03-07 00:00:00,6343
fukui-station-east-entrance,Person,2025-03-07 00:00:00,2025-03-08 00:00:00,7247
fukui-station-east-entrance,Person,2025-03-08 00:00:00,2025-03-09 00:00:00,9689
fukui-station-east-entrance,Person,2025-03-09 00:00:00,2025-03-10 00:00:00,9306
fukui-station-east-entrance,Person,2025-03-10 00:00:00,2025-03-11 00:00:00,6006
fukui-station-east-entrance,Person,2025-03-11 00:00:00,2025-03-12 00:00:00,6014
fukui-station-east-entrance,Person,2025-03-12 00:00:00,2025-03-13 00:00:00,6410
fukui-station-east-entrance,Person,2025-03-13 00:00:00,2025-03-14 00:00:00,5859
fukui-station-east-entrance,Person,2025-03-14 00:00:00,2025-03-15 00:00:00,7863
fukui-station-east-entrance,Person,2025-03-15 00:00:00,2025-03-16 00:00:00,10039
